modelo,threshold,precision,recall,f1,cost_q,alertas_por_100k
A,0.004605933388596674,0.052157001414427154,0.9768211920529801,0.09902651896609599,994380.0,63851.88530142244
A,0.004633371275802358,0.0523142401134953,0.9768211920529801,0.09930988049149975,991320.0,63659.968390155795
A,0.004688810046278532,0.05255656511669339,0.9768211920529801,0.09974640743871513,986640.0,63366.44840821856
A,0.004693533477143107,0.05258467023172905,0.9768211920529801,0.09979702300405954,986100.0,63332.580717995035
A,0.004760152620740908,0.05285791076867945,0.9768211920529801,0.1002889682134965,980880.0,63005.193045834276
A,0.004778239529487327,0.05297180822409769,0.9768211920529801,0.10049395332992675,978720.0,62869.722284940166
A,0.004803400567565576,0.05313400576368876,0.9768211920529801,0.1007857874957294,975660.0,62677.80537367351
A,0.004860461267283947,0.05339366515837104,0.9768211920529801,0.10125278874206281,970800.0,62372.99616166177
A,0.00486241648124475,0.053413000181061016,0.9768211920529801,0.10128755364806866,970440.0,62350.417701512764
A,0.004929263449030364,0.053694939934473974,0.9768211920529801,0.10179434092477571,965220.0,62023.030029352
A,0.0049545565804088665,0.053822295201605544,0.9768211920529801,0.10202317136434376,962880.0,61876.27003838339
A,0.004987024863367816,0.053979871912168347,0.9768211920529801,0.10230622507369519,960000.0,61695.64235719124
A,0.005048327112381252,0.054257862791980874,0.9768211920529801,0.10280536678863912,954960.0,61379.543915104994
A,0.005050989024214231,0.05426784400294334,0.9768211920529801,0.10282328337399792,954780.0,61368.25468503048
A,0.005102080587373039,0.05455890512298872,0.9768211920529801,0.10334559467507445,949560.0,61040.86701286973
A,0.005127563361286122,0.05470053773409976,0.9768211920529801,0.1035996488147498,947040.0,60882.817791826594
A,0.00515168621830885,0.05485310524358498,0.9768211920529801,0.10387323943661972,944340.0,60713.47934070897
A,0.005203604309532677,0.05495327102803738,0.9735099337748344,0.10403397027600848,943680.0,60397.38089862271
A,0.005207382667789022,0.054963544587773416,0.9735099337748344,0.10405238010971511,943500.0,60386.0916685482
A,0.005261519110723489,0.05526315789473684,0.9735099337748344,0.10458911419423693,938280.0,60058.70399638744
A,0.005290626563604151,0.05522050508857897,0.9701986754966887,0.10449358059914407,940140.0,59900.65477534432
A,0.005322878668419293,0.055377055377055374,0.9701986754966887,0.10477382442338637,937440.0,59731.31632422669
A,0.005383393969578464,0.0556822500950209,0.9701986754966887,0.10531991373112869,932220.0,59403.92865206593
A,0.005384847940064746,0.0556822500950209,0.9701986754966887,0.10531991373112869,932220.0,59403.92865206593
A,0.005433653112998853,0.055990827441238296,0.9701986754966887,0.10587172538392049,927000.0,59076.54097990517
A,0.00546524007271574,0.056151782292065924,0.9701986754966887,0.10615942028985507,924300.0,58907.20252878754
A,0.0055169481298708,0.056302843966179864,0.9701986754966887,0.10642934980021794,921780.0,58749.15330774442
A,0.00556910033190952,0.0566183574879227,0.9701986754966887,0.1069928793134928,916560.0,58421.76563558366
A,0.005569259536274278,0.05662930034789331,0.9701986754966887,0.10701241782322864,916380.0,58410.47640550915
A,0.0056309519043637474,0.05693742712786631,0.9701986754966887,0.10756240822320119,911340.0,58094.37796342289
A,0.005661722763154951,0.057115009746588695,0.9701986754966887,0.10787923416789397,908460.0,57913.75028223075
A,0.005686983970552831,0.05726011334766465,0.9701986754966887,0.10813803284738881,906120.0,57766.99029126213
A,0.005743633930158774,0.057586477987421385,0.9701986754966887,0.10871985157699444,900900.0,57439.60261910138
A,0.0057450559530060645,0.05759779830941616,0.9701986754966887,0.10874002597884579,900720.0,57428.313389026865
A,0.005808841898798289,0.05791658430519866,0.9701986754966887,0.10930796493191569,895680.0,57112.21494694062
A,0.005841354828320826,0.05810033710093199,0.9701986754966887,0.10963517305893357,892800.0,56931.58726574847
A,0.005879345703372598,0.058250497017892644,0.9701986754966887,0.1099024756189047,890460.0,56784.82727477986
A,0.005958639042319831,0.05818836232753449,0.9635761589403974,0.10974919856684896,894000.0,56457.439602619095
A,0.005959309592513571,0.05821164232846569,0.9635761589403974,0.10979060554612338,893640.0,56434.86114247009
A,0.006003129539976765,0.0585277554304103,0.9635761589403974,0.11035267349260522,888780.0,56130.05193045834
A,0.006046068754342847,0.05872855701311806,0.9635761589403974,0.11070953015027582,885720.0,55938.13501919169
A,0.006081094383704508,0.05887113089217075,0.9635761589403974,0.11096282173498571,883560.0,55802.664258297584
A,0.006133326097950848,0.059218559218559216,0.9635761589403974,0.111579754601227,878340.0,55475.276586136824
A,0.006141469021500103,0.05925473427000611,0.9635761589403974,0.111643967005563,877800.0,55441.4088959133
A,0.006193705546085293,0.059570112589559875,0.9635761589403974,0.1122035858877964,873120.0,55147.888913976065
A,0.006231905811370686,0.0597904253133347,0.9635761589403974,0.11259431224608242,869880.0,54944.682772634915
A,0.006253659994124799,0.05992586490939045,0.9635761589403974,0.11283443195036837,867900.0,54820.50124181531
A,0.006315068736313794,0.06028589185829708,0.9635761589403974,0.1134724117761747,862680.0,54493.11356965455
A,0.006317697190434999,0.06032338308457712,0.9635761589403974,0.11353882169332813,862140.0,54459.245879431015
A,0.006377062055939819,0.060650270946227595,0.9635761589403974,0.11411764705882353,857460.0,54165.72589749379
A,0.00643583744210921,0.06087866108786611,0.9635761589403974,0.11452184179456908,854220.0,53962.51975615263
A,0.00647629893586068,0.06080939400293563,0.9602649006622517,0.11437586274896469,856620.0,53838.338225333035
A,0.006559715094683168,0.06118143459915612,0.9602649006622517,0.11503371677905594,851400.0,53510.950553172275
A,0.006567048529315845,0.06123310810810811,0.9602649006622517,0.11512504962286622,850680.0,53465.793632874236
A,0.006637266499906597,0.061558055614519214,0.9602649006622517,0.11569918212647118,846180.0,53183.562881011516
A,0.006709698763304649,0.06180733162830349,0.9602649006622517,0.11613936724068882,842760.0,52969.06750959584
A,0.0067343841441686895,0.06193934216146946,0.9602649006622517,0.11637239165329055,840960.0,52856.17520885076
A,0.006833024443163015,0.06232538147431765,0.9602649006622517,0.1170534813319879,835740.0,52528.787536690004
A,0.006839425371266533,0.06239242685025818,0.9602649006622517,0.11717171717171716,834840.0,52472.34138631746
A,0.006908113681146501,0.06271626297577855,0.9602649006622517,0.11774259033698743,830520.0,52201.39986452924
A,0.0069725959617795265,0.0629887054735013,0.9602649006622517,0.1182225845902976,826920.0,51975.615263039064
